"﻿25/6/15, 1:42:12 AM: James created this group"
"25/6/15, 1:42:12 AM: You were added"
"18/12/16, 1:57:38 AM: Ben:You need to do this"
"21/12/16, 9:54:46 PM: Anna John: Good Morning"
"21/12/16, 9:57:45 PM: Ben: Wow"
"21/12/16, 10:48:51 PM: Sakshi: Hai how are"
"21/12/16, 10:49:00 PM: Sakshi: So good to see you"
"21/12/16, 10:50:12 PM:  Emma: Super"
"21/12/16, 10:51:21 PM: Sakshi: So amazing"
"21/12/16, 10:57:01 PM: Pole:"
"21/12/16, 11:28:51 PM: James: Waste out of wealth"
"21/12/16, 11:48:42 PM: Alan: Fancy dress competition"
"22/12/16, 12:08:04 AM: Theresa:Is it true"
"22/12/16, 12:24:00 AM: Messages you send to this group are now secured with end-to-end encryption."
"22/12/16, 12:25:02 AM: Jack: it is above super"
"22/12/16, 12:36:54 AM: Sakshi: We were divided into four groups.."
"Each group had to use newspapers only for dressing up one of their team members"
"22/12/16, 6:27:38 AM: Emily: So be it"
"22/12/16, 12:10:31 PM: Theresa: world's most dangerous proposal.. Must watch"
"22/12/16, 12:10:45 PM: Theresa: Such a lovely dear"
"22/12/16, 12:40:48 PM: Ben:"
"22/12/16, 2:58:09 PM: Emily: To Moscow girls he was such a good person"
"24/12/16, 7:53:38 PM: Emily: Moreover it was a wonderful day"
"25/12/16, 2:55:14 AM: Anna John: Merry Christmas"
"25/12/16, 7:59:17 AM: Emily: So true and amazing"
"1/1/17, 2:34:15 AM: Ben: Happy new year everyone! Hope new year brings happiness,success and good luck! God bless"
"1/1/17, 2:34:59 AM: Rose: Happy new year everyone"
"1/1/17, 2:37:05 AM: Pole: Happy new year to everyone"
"1/1/17, 2:37:27 AM: Jack: Happy new year!"
"1/1/17, 2:37:32 AM: James: Hey all"
"1/1/17, 2:37:47 AM: James: Wish you all good luck for new year"
"1/1/17, 2:39:48 AM: Anna John: Happy new year!"
"1/1/17, 2:40:03 AM:  Emma: Happy new year"
"1/1/17, 2:40:12 AM: Hazel: Happy new year all"
"1/1/17, 2:43:10 AM: Theresa: Happy new yr"
"1/1/17, 2:44:00 AM: Mary: Happy new Year ! Have fun and be safe"
"1/1/17, 2:59:53 AM: Alan: Happy new Year"
"1/1/17, 3:00:06 AM: Alan: Must be a great surprise for you"
"1/1/17, 3:22:17 AM:  Mathew: happy new year."
"1/1/17, 3:22:19 AM:  Mathew:   Mine was too long"
"1/1/17, 3:22:19 AM:  Mathew: Pretty cool right"
"1/1/17, 6:54:40 AM: Emily: Such a good whether"
"1/1/17, 11:19:30 AM: Shradha: Happy new year"
"1/1/17, 2:35:30 PM:  Emma: Wishing Everyone a great beginning to... ""twenty seventeen""..... feel twenty and look seventeen...."
"1/1/17, 2:37:06 PM: Juliet Daylon: Happy new year"
"1/1/17, 2:47:37 PM: Mary: Nice one Monica"
"1/1/17, 3:55:08 PM: James : it's right no reply for us but for Monica... Nice one Monica"
"1/1/17, 4:00:17 PM:  Emma: husband"
"2/1/17, 2:02:28 AM: Mary:wife"
"2/1/17, 2:05:04 AM: Mary: It was a really unique new year wish. Monica has come in the category of  ben and Emily"
"2/1/17, 10:09:05 AM: James : Because once mother-in-law was daughter-in-law"
"2/1/17, 11:06:37 AM:  Emma: Still 23 days left only"
"2/1/17, 1:28:12 PM: Ben: hey"
"8/1/17, 8:27:36 PM: Theresa: So be it"
"10/1/17, 5:17:40 PM: James : Hi all Just type , don't send   You can view the DP   of all members of the group Try it.... it's an amazing feature"
"10/1/17, 5:20:22 PM: Ben: Wow"
"10/1/17, 5:20:28 PM: Ben: Really cool"
"10/1/17, 5:20:43 PM: Ben: Monica looks very pretty"
"10/1/17, 5:22:03 PM: Ben: James whose dp were you looking at"
